compact_idx,raw_id,base_raw_id,hemi,name,name_pretty
874,2668,668,R,R-ORBm2-3,R-CORTEX_PREFRONTAL
875,2669,669,R,R-ORBm5,R-CORTEX_PREFRONTAL
876,2670,670,R,R-ORBm6a,R-CORTEX_PREFRONTAL
877,2672,672,R,R-ORBvl,R-CORTEX_PREFRONTAL
878,2674,674,R,R-ORBvl2-3,R-CORTEX_PREFRONTAL
879,2675,675,R,R-ORBvl5,R-CORTEX_PREFRONTAL
880,2676,676,R,R-ORBvl6a,R-CORTEX_PREFRONTAL
881,2678,678,R,R-OT,R-BASALGANGLIA_STRIATUM
882,2684,684,R,R-P,R-PONS
883,2685,685,R,R-PA,R-AMYGDALA
884,2686,686,R,R-PAA,R-AMYGDALA
885,2691,691,R,R-PAG,R-AMYGDALA
886,2692,692,R,R-PAL,R-AMYGDALA
887,2698,698,R,R-PAR,R-HIPPOCAMPAL FORMATION
888,2702,702,R,R-PARN,R-MIDBRAIN
889,2703,703,R,R-PAS,R-AMYGDALA
890,2704,704,R,R-PB,R-PONS
891,2705,705,R,R-PBG,R-MIDBRAIN
892,2716,716,R,R-pc,R-WHITE_MATTER
893,2719,719,R,R-PCG,R-PONS
894,2720,720,R,R-PCN,R-PONS
895,2721,721,R,R-PD,R-HYPOTHALAMUS
896,2724,724,R,R-PERI1,R-CORTEX_TEMPORAL_ASSOC
897,2725,725,R,R-PERI2-3,R-CORTEX_TEMPORAL_ASSOC
898,2726,726,R,R-PERI5,R-CORTEX_TEMPORAL_ASSOC
899,2727,727,R,R-PERI6a,R-CORTEX_TEMPORAL_ASSOC
900,2728,728,R,R-PERI6b,R-CORTEX_TEMPORAL_ASSOC
901,2729,729,R,R-PF,R-THALAMUS
902,2735,735,R,R-PG,R-PONS
903,2737,737,R,R-PGRNd,R-PONS
904,2738,738,R,R-PGRNl,R-PONS
905,2739,739,R,R-PH,R-HYPOTHALAMUS
906,2747,747,R,R-PIR,R-OLFACTORY
907,2754,754,R,R-PL1,R-CORTEX_PREFRONTAL
908,2755,755,R,R-PL2,R-CORTEX_PREFRONTAL
909,2756,756,R,R-PL2-3,R-CORTEX_PREFRONTAL
910,2757,757,R,R-PL5,R-CORTEX_PREFRONTAL
911,2759,759,R,R-PL6b,R-CORTEX_PREFRONTAL
912,2761,761,R,R-pm,R-WHITE_MATTER
913,2762,762,R,R-PMd,R-HYPOTHALAMUS
914,2766,766,R,R-PMv,R-HYPOTHALAMUS
915,2768,768,R,R-PO,R-THALAMUS
